,city,country,population,year
3835,Shanghai,China,22315474.0,2010
3834,Shanghai,China,15758892.0,2000
2671,Istanbul,Turkey,13710512.0,2012
4508,Delhi,India,12877470.0,2001
4404,Mumbai,India,12442373.0,2011
1582,Moskva,Russia,11979529.0,2013
4403,Mumbai,India,11914398.0,2001
3831,Beijing,China,11716620.0,2010
1581,Moskva,Russia,11612885.0,2010
8394,São Paulo,Brazil,11152344.0,2010
3839,Tianjin,China,11090314.0,2010
3449,Guangzhou,China,11071424.0,2010
4509,Delhi,India,11034555.0,2011
1580,Moskva,Russia,10382754.0,2002
3456,Shenzhen,China,10358381.0,2010
5378,Seoul,South Korea,10229262.0,1995
4402,Mumbai,India,9925891.0,1991
5379,Seoul,South Korea,9895217.0,2000
4172,Karachi,Pakistan,9863000.0,1995
5380,Seoul,South Korea,9820171.0,2005
8393,São Paulo,Brazil,9813187.0,2000
8392,São Paulo,Brazil,9811776.0,1996
3552,Wuhan,China,9785388.0,2010
5381,Seoul,South Korea,9708483.0,2010
4977,Jakarta,Indonesia,9607787.0,2010
8391,São Paulo,Brazil,9412894.0,1991
4173,Karachi,Pakistan,9339023.0,1998
1579,Moskva,Russia,8967232.0,1989
5207,Tokyo,Japan,8945695.0,2010
2670,Istanbul,Turkey,8803468.0,2000
5208,Tokyo,Japan,8591695.0,2012
6078,Ciudad de México,Mexico,8555272.0,2010
3448,Guangzhou,China,8524826.0,2000
3830,Beijing,China,8503385.0,2000
5206,Tokyo,Japan,8489653.0,2005
4932,Al Qahirah,Egypt,8471859.0,2006
6077,Ciudad de México,Mexico,8463906.0,2005
4381,Bangalore,India,8443675.0,2011
6890,New York,United States,8405837.0,2013
6076,Ciudad de México,Mexico,8391517.0,2000
6075,Ciudad de México,Mexico,8367787.0,1995
4976,Jakarta,Indonesia,8361079.0,2000
3551,Wuhan,China,8312700.0,2000
4975,Jakarta,Indonesia,8259266.0,1990
3320,London,United Kingdom,8250205.0,2011
3461,Dongguan,China,8220207.0,2010
3832,Shanghai,China,8205598.0,1990
6889,New York,United States,8175136.0,2010
4029,Tehran,Iran,8154051.0,2011
3838,Tianjin,China,8146128.0,2000
5205,Tokyo,Japan,8134688.0,2000
6074,Ciudad de México,Mexico,8092449.0,1990
1578,Moskva,Russia,8010954.0,1979
6888,New York,United States,8009185.0,2000
5204,Tokyo,Japan,7843000.0,1995
3833,Shanghai,China,7830000.0,1991
7562,Bogotá,Colombia,7776845.0,2014
2669,Istanbul,Turkey,7615500.0,1994
8698,Lima,Peru,7605742.0,2007
4589,Bangkok,Thailand,7506700.0,1999
3843,Chongqing,China,7457600.0,2010
4289,Dhaka,Bangladesh,7423137.0,2011
3750,Chengdu,China,7415590.0,2010
3828,Beijing,China,7362426.0,1990
6887,New York,United States,7322564.0,1990
3319,London,United Kingdom,7208384.0,2001
4507,Delhi,India,7206704.0,1991
3464,Foshan,China,7194311.0,2010
3590,Nanjing,China,7165292.0,2010
4028,Tehran,Iran,7088287.0,2006
6886,New York,United States,7071639.0,1980
4816,Hong Kong,Hong Kong,7055071.0,2009
3455,Shenzhen,China,7008831.0,2000
4288,Dhaka,Bangladesh,7000940.0,2008
3829,Beijing,China,7000000.0,1991
4931,Al Qahirah,Egypt,6801931.0,1996
7561,Bogotá,Colombia,6778691.0,2005
4027,Tehran,Iran,6758845.0,1996
4026,Tehran,Iran,6750043.0,1994
4526,Hyderabad,India,6731790.0,2011
3318,London,United Kingdom,6715769.0,1991
2668,Istanbul,Turkey,6629431.0,1990
3686,Xi'an,China,6501190.0,2010
3460,Dongguan,China,6445777.0,2000
8202,Rio de Janeiro,Brazil,6320446.0,2010
3660,Shenyang,China,6255921.0,2010
3774,Hangzhou,China,6241971.0,2010
3842,Chongqing,China,6158790.0,2000
4930,Al Qahirah,Egypt,6053000.0,1986
4025,Tehran,Iran,6042584.0,1986
4614,Ho Chi Minh,Vietnam,5968384.0,2009
3510,Harbin,China,5878939.0,2010
4588,Bangkok,Thailand,5876000.0,1990
8201,Rio de Janeiro,Brazil,5857904.0,2000
3836,Tianjin,China,5804023.0,1990
3837,Tianjin,China,5770000.0,1991
5076,Baghdad,Iraq,5750000.0,2003
8697,Lima,Peru,5706127.0,1993
4361,Ahmadabad,India,5577940.0,2011
8200,Rio de Janeiro,Brazil,5533011.0,1996
8199,Rio de Janeiro,Brazil,5480768.0,1991
3599,Suzhou,China,5345961.0,2010
3685,Xi'an,China,5345777.0,2000
3463,Foshan,China,5337709.0,2000
3452,Shantou,China,5329024.0,2010
4287,Dhaka,Bangladesh,5327306.0,2001
3659,Shenyang,China,5303053.0,2000
3749,Chengdu,China,5267817.0,2000
7560,Bogotá,Colombia,5237635.0,1995
4328,Yangon,Myanmar,5209541.0,2014
4171,Karachi,Pakistan,5208132.0,1981
9125,Lagos,Nigeria,5195247.0,1991
4109,Lahore,Pakistan,5143495.0,1998
3589,Nanjing,China,5098340.0,2000
5581,Singapore,Singapore,5076700.0,2010
1532,Sankt Peterburg,Russia,5028000.0,2013
1529,Sankt Peterburg,Russia,5023506.0,1989
9005,Luanda,Angola,5000000.0,2011
1531,Sankt Peterburg,Russia,4879566.0,2010
1530,Sankt Peterburg,Russia,4661219.0,2002
8653,Santiago,Chile,4659048.0,2002
9052,Kinshasa,Zaire,4655313.0,1994
3657,Shenyang,China,4655280.0,1990
4459,Chennai,India,4646732.0,2011
2570,Ankara,Turkey,4630735.0,2012
7621,Sydney,Australia,4605992.0,2011
3451,Shantou,China,4600927.0,2000
1528,Sankt Peterburg,Russia,4588183.0,1979
4497,Kolkata,India,4572876.0,2001
3658,Shenyang,China,4540000.0,1991
3773,Hangzhou,China,4502382.0,2000
4498,Kolkata,India,4496694.0,2011
5075,Baghdad,Iraq,4478000.0,1987
4364,Surat,India,4467797.0,2011
9178,Johannesburg,South Africa,4434827.0,2011
4496,Kolkata,India,4399819.0,1991
9231,Abidjan,Cote dIvoire,4395243.0,2014
9328,Dar es Salaam,Tanzania,4364541.0,2012
4458,Chennai,India,4343645.0,2001
3697,Jinan,China,4335989.0,2010
8652,Santiago,Chile,4318000.0,1987
4380,Bangalore,India,4301326.0,2001
3532,Zhengzhou,China,4253913.0,2010
4613,Ho Chi Minh,Vietnam,4207825.0,1999
3642,Changchun,China,4193073.0,2010
7660,Melbourne,Australia,4169103.0,2011
7620,Sydney,Australia,4128272.0,2001
4929,Al Iskandariyah,Egypt,4123869.0,2006
3509,Harbin,China,4113708.0,2000
3663,Dalian,China,4087733.0,2010
5108,Riyadh,Saudi Arabia,4087152.0,2004
5580,Singapore,Singapore,4027900.0,2000
9230,Abidjan,Cote dIvoire,4007000.0,2009
5593,New Taipei,Taiwan,3939305.0,2012
4612,Ho Chi Minh,Vietnam,3924435.0,1989
3446,Guangzhou,China,3918010.0,1990
6288,Los Angeles,United States,3884307.0,2013
7619,Sydney,Australia,3881100.0,1996
3768,Kunming,China,3855346.0,2010
4457,Chennai,India,3841396.0,1991
4286,Dhaka,Bangladesh,3839483.0,1991
3549,Wuhan,China,3832536.0,1990
5382,Busan,South Korea,3813814.0,1995
6287,Los Angeles,United States,3792622.0,2010
5592,New Taipei,Taiwan,3767095.0,2006
3550,Wuhan,China,3750000.0,1991
9203,Cape Town,South Africa,3740026.0,2011
5591,New Taipei,Taiwan,3722082.0,2003
3704,Qingdao,China,3718835.0,2010
6286,Los Angeles,United States,3694257.0,2000
